Stress	Time
73	2022-02-07 07:51:18.662
80	2022-02-08 13:10:03.691
81	2022-02-09 10:42:28.539
76	2022-02-10 21:41:48.427
67	2022-02-11 07:50:59.566
73	2022-02-12 22:15:34.272
83	2022-02-13 12:24:38.294
82	2022-02-14 06:03:55.805
77	2022-02-15 08:50:18.218
80	2022-02-17 08:15:07.473
78	2022-02-17 08:15:37.559
64	2022-02-18 07:59:30.327
82	2022-02-19 15:13:25.961
73	2022-02-20 18:10:55.324
75	2022-02-21 07:53:39.951
71	2022-02-22 09:46:28.717
83	2022-02-23 06:43:39.192
71	2022-02-25 17:16:53.151
78	2022-02-25 17:16:54.070
80	2022-02-26 12:59:24.803
79	2022-02-27 08:57:46.665
69	2022-02-28 09:11:24.570
72	2022-03-01 14:02:59.568
68	2022-03-02 07:50:39.589
71	2022-03-03 08:24:49.827
65	2022-03-05 09:44:17.044
79	2022-03-05 09:44:35.021
72	2022-03-06 07:35:11.213
73	2022-03-07 11:11:06.382
80	2022-03-08 11:40:37.148
77	2022-03-09 07:57:21.152
82	2022-03-10 08:48:08.579
83	2022-03-11 22:29:21.651
76	2022-03-12 10:01:39.025
67	2022-03-13 08:16:41.569
80	2022-03-14 07:14:34.918
75	2022-03-15 15:19:49.476
80	2022-03-16 21:30:27.215
78	2022-03-17 09:06:54.714
77	2022-03-18 07:11:29.876
70	2022-03-19 11:12:16.786
74	2022-03-20 11:19:10.236
74	2022-03-21 07:35:42.102
79	2022-03-22 09:17:09.472
74	2022-03-24 07:48:29.278
77	2022-03-24 07:48:30.599
71	2022-03-25 08:25:35.430
69	2022-03-26 19:34:49.263
69	2022-03-27 17:42:16.988
72	2022-03-28 06:44:34.841
80	2022-03-29 08:21:00.760
75	2022-03-30 07:40:01.844
80	2022-03-31 09:33:54.864
78	2022-04-01 07:42:44.755
68	2022-04-02 11:40:57.188
68	2022-04-04 08:18:38.650
75	2022-04-04 08:18:38.707
73	2022-04-05 06:38:09.806
76	2022-04-06 10:51:48.500
70	2022-04-07 08:15:45.457
60	2022-04-10 18:33:25.905
0	2022-04-10 18:33:26.371
62	2022-04-10 18:33:26.579
59	2022-04-12 11:36:58.215
68	2022-04-12 11:36:59.992
78	2022-04-13 13:52:07.294
78	2022-04-14 08:10:27.354
82	2022-04-15 16:10:13.575
82	2022-04-16 17:17:39.768
77	2022-04-17 07:36:54.854
63	2022-04-19 06:48:26.555
68	2022-04-19 06:48:27.855
70	2022-04-21 09:58:43.538
71	2022-04-21 09:58:44.073
70	2022-04-22 21:57:22.002
73	2022-04-23 10:25:39.922
81	2022-04-24 12:50:45.757
67	2022-04-25 07:34:26.828
